6, 25.390814065933228,			1.3216,1.3283,1.3208,1.3159,1.3292,1.311,-0.0153
7, 25.390814065933228,			-5.4751,4.0157,-1.3345,4.0295,-1.2138,2.5339,0.0048
0, 27.424920320510864,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 27.424920320510864,			1.332,1.3169,1.3157,1.3253,1.3157,1.3227,-0.0006
2, 27.424920320510864,			1.3262,1.3154,1.3266,1.3095,1.3234,1.3202,0.0009
3, 27.424920320510864,			1.2813,1.3555,2.7474,-0.1022,1.3007,1.2915,0.0559
4, 27.424920320510864,			-0.0014,-2.7468,1.3207,1.3248,1.3206,1.3165,0.0004
5, 27.424920320510864,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.3149,0.0056
6, 27.424920320510864,			1.3216,1.3283,1.3208,1.321,1.3292,1.3058,-0.0051
7, 27.424920320510864,			-5.4802,4.0157,-1.3294,4.0295,-1.2189,2.539,-0.0054
0, 29.60564422607422,			1.3223,1.3187,1.3295,1.3229,1.3199,1.3245,0.0066
1, 29.60564422607422,			1.3218,1.322,1.3106,1.3253,1.3208,1.3176,-0.0006
2, 29.60564422607422,			1.3313,1.3154,1.3266,1.3146,1.3183,1.3202,0.0009
3, 29.60564422607422,			1.2915,1.3504,2.7474,-0.1022,1.3058,1.2864,0.0559
4, 29.60564422607422,			-0.0014,-2.7418,1.3156,1.3248,1.3206,1.3165,0.0004
5, 29.60564422607422,			-4.0769,1.3219,1.3226,1.3245,1.3211,1.3149,0.0056
6, 29.60564422607422,			1.3267,1.3232,1.3208,1.321,1.3292,1.3058,-0.0102
7, 29.60564422607422,			-5.4956,4.0105,-1.3345,4.0295,-1.2138,2.5339,-0.0003
0, 31.811434745788574,			1.3223,1.3289,1.3243,1.3229,1.3199,1.3245,0.0014
1, 31.811434745788574,			1.3218,1.3169,1.3157,1.3253,1.3208,1.3176,-0.0006
2, 31.811434745788574,			1.3262,1.3154,1.3215,1.3197,1.3183,1.3202,0.0009
3, 31.811434745788574,			1.2864,1.3555,2.7423,-0.0971,1.3007,1.2864,0.0559
4, 31.811434745788574,			-0.0014,-2.7469,1.3156,1.3248,1.3206,1.3216,-0.0047
5, 31.811434745788574,			-4.0769,1.3219,1.3277,1.3194,1.3211,1.3149,0.0005
6, 31.811434745788574,			1.3267,1.3232,1.3259,1.3159,1.3292,1.311,-0.0102
7, 31.811434745788574,			-5.5059,4.0157,-1.3396,4.0295,-1.2138,2.5339,0.0048
0, 33.84606099128723,			1.3223,1.3187,1.3295,1.3229,1.3199,1.3245,0.0014
1, 33.84606099128723,			1.3218,1.322,1.3106,1.3253,1.3208,1.3176,-0.0006
